yyyy/mm/dd,Extent(km2)
2012-05-19,12900413.664074732
2012-05-20,12805308.827847935
2012-05-21,12714344.526727447
2012-05-22,12626199.333669357
2012-05-23,12661554.993524464
2012-05-24,12623742.590680256
2012-05-25,12562026.282964475
2012-05-26,12528349.907849865
2012-05-27,12504834.44920299
2012-05-28,12468410.46955068
2012-05-29,12403463.056023272
2012-05-30,12386724.900011709
2012-05-31,12357982.140845094
2012-06-01,12144768.480666393
2012-06-02,12067193.777533121
2012-06-03,11990150.578154797
2012-06-04,11996985.36678398
2012-06-05,11907116.824321458
2012-06-06,11758342.114775091
2012-06-07,11572359.245163415
2012-06-08,11397770.370017324
2012-06-09,11204675.800709154
2012-06-10,11076191.03646044
2012-06-11,10929050.812271973
2012-06-12,10783995.263177209
2012-06-13,10690467.63971511
2012-06-14,10647387.844230566
2012-06-15,10587926.752547096
2012-06-16,10391916.221235907
2012-06-17,10395414.77662491
2012-06-18,10289755.013528712
2012-06-19,10233948.789409377
2012-06-20,10215004.686861658
2012-06-21,10182907.972674688
2012-06-22,10011263.473193211
2012-06-23,9981797.674441278
2012-06-24,9892116.606257215
2012-06-25,9735954.320220605
2012-06-26,9676089.549633894
2012-06-27,9623876.56020264
2012-06-28,9393307.809188178
2012-06-29,9276638.292212656
2012-06-30,9234241.350738622
2012-07-01,9075865.151812695
2012-07-02,8957609.176938953
2012-07-03,8941553.355779028
2012-07-04,8863774.1504227
2012-07-05,8662509.418911284
2012-07-06,8561436.498502033
2012-07-07,8514703.945477434
2012-07-08,8388053.060268506
2012-07-09,8173159.224457911
2012-07-10,8126643.673226616
2012-07-11,8046047.9888690235
2012-07-12,7963295.113964401
2012-07-13,7931792.626261774
2012-07-14,7867748.392306488
2012-07-15,7691694.268998284
2012-07-16,7597736.929495921
2012-07-17,7470795.065289194
2012-07-18,7421421.150187533
2012-07-19,7319184.797134423
2012-07-20,7315888.155768551
2012-07-21,7259940.817732421
2012-07-22,7152744.915995156
2012-07-23,7090717.234515746
2012-07-24,7035773.364654987
2012-07-25,6919771.200061827
2012-07-26,6792551.7960353745
2012-07-27,6691538.102426152
2012-07-28,6586752.283056549
2012-07-29,6491056.089796738
2012-07-30,6414842.625237867
2012-07-31,6388243.458442804
2012-08-01,6300896.61704825
2012-08-02,6181745.3123301
2012-08-03,6012909.0793323945
2012-08-04,5993450.80435781
2012-08-05,5769430.94205871
2012-08-06,5625702.398253921
2012-08-07,5492823.820405946
2012-08-08,5282150.331544058
2012-08-09,5157442.310926187
2012-08-10,5175196.183980563
2012-08-11,5064976.91117378
2012-08-12,4977799.7362202685
2012-08-13,4937388.097380353
2012-08-14,4803564.25642428
2012-08-15,4724070.6748372475
2012-08-16,4651971.240581296
2012-08-17,4586551.7178549515
2012-08-18,4547694.884425714
2012-08-19,4461081.580022772
2012-08-20,4359945.190698217
2012-08-21,4332013.707707992
2012-08-22,4280577.165133632
2012-08-23,4156895.284736104
2012-08-24,4028020.758280648
2012-08-25,3950596.3520148275
2012-08-26,3972557.4597685817
2012-08-27,3864167.3221519445
2012-08-28,3833063.070881718
2012-08-29,3805303.390349126
2012-08-30,3866628.2402799428
2012-08-31,3763418.7819077647
2012-09-01,3703508.781419381
2012-09-02,3674067.8922685725
2012-09-03,3648789.7783435765
2012-09-04,3625535.6797236246
2012-09-05,3586384.045806466
2012-09-06,3509468.928800112
2012-09-07,3604750.52791007
2012-09-08,3633371.261284404
2012-09-09,3557159.0428672796
2012-09-10,3497413.7553632683
2012-09-11,3462072.83857591
2012-09-12,3448948.985453956
2012-09-13,3438447.6883122777
2012-09-14,3437894.1817751373
2012-09-15,3420413.1410516053
2012-09-16,3407922.4031806644
2012-09-17,3507836.1595081086
2012-09-18,3590726.4790411643
2012-09-19,3620221.0460918364
2012-09-20,3672331.7681382536
2012-09-21,3661158.138905858
2012-09-22,3662980.809179766
2012-09-23,3703633.738266992
2012-09-24,3725434.636256141
2012-09-25,3804009.4488804033
2012-09-26,3812954.4188498543
2012-09-27,3863258.871379714
2012-09-28,3928331.8573770826
2012-09-29,3978871.0568161835
2012-09-30,4020553.775843676
2012-10-01,4177221.282008906
2012-10-02,4233354.725416694
2012-10-03,4254435.355288879
2012-10-04,4332751.139053759
2012-10-05,4423069.240287361
2012-10-06,4513915.647511713
2012-10-07,4601575.936714328
2012-10-08,4655868.501663843
2012-10-09,4684513.163789893
2012-10-10,4854976.381367068
2012-10-11,5072228.181216607
2012-10-12,5110247.257888438
2012-10-13,5235073.697133537
2012-10-14,5491478.790181404
2012-10-15,5789863.892568137
2012-10-16,6032896.376968325
2012-10-17,6204428.93178655
2012-10-18,6365805.809074078
2012-10-19,6529019.956077838
2012-10-20,6751464.0252805045
2012-10-21,6933393.805200369
2012-10-22,7213612.459204188
2012-10-23,7314184.237945291
2012-10-24,7416424.900898548
2012-10-25,7386492.475449557
2012-10-26,7453469.7772632865
2012-10-27,7514432.849378615
2012-10-28,7570177.06161407
2012-10-29,7715925.452436748
2012-10-30,7850075.527558687
2012-10-31,8000340.372749299
2012-11-01,8060960.585487718
2012-11-02,8144676.630180796
2012-11-03,8291399.537166399
2012-11-04,8436599.825572798
2012-11-05,8518385.914983215
2012-11-06,8577759.909994477
