yyyy/mm/dd,Extent(km2)
2023-03-05,2147770.726481392
2023-03-06,2213385.1628917307
2023-03-07,2302216.968659748
2023-03-08,2441989.681354736
2023-03-09,2570535.057066485
2023-03-10,2599421.0528401784
2023-03-11,2570678.404953813
2023-03-12,2593823.7330393144
2023-03-13,2665889.785124929
2023-03-14,2698213.337729126
2023-03-15,2797641.8695208738
2023-03-16,2888912.9065245893
2023-03-17,2873471.342033352
2023-03-18,2909956.4223712413
2023-03-19,3022376.20755525
2023-03-20,3088484.879230337
2023-03-21,3207280.1762925074
2023-03-22,3365460.828348903
2023-03-23,3473212.909346282
2023-03-24,3691142.9505073223
2023-03-25,3826586.5303781144
2023-03-26,3895664.662451009
2023-03-27,3902026.2831917433
2023-03-28,4017625.152912553
2023-03-29,4124825.6162919877
2023-03-30,4251112.330064504
2023-03-31,4377033.671658309
2023-04-01,4497251.045327604
2023-04-02,4596950.13873648
2023-04-03,4669655.2156932745
2023-04-04,4745848.794021998
2023-04-05,4815842.729286263
2023-04-06,4930538.576003875
2023-04-07,5024277.089142192
2023-04-08,5091187.398465464
2023-04-09,5066991.039335063
2023-04-10,5180904.172844061
2023-04-11,5279780.917308708
2023-04-12,5428707.311093766
2023-04-13,5542221.278786462
2023-04-14,5578370.845112565
2023-04-15,5670607.266362008
2023-04-16,5681902.772399138
2023-04-17,5785277.328693313
2023-04-18,5838601.893714498
2023-04-19,5907710.643014949
2023-04-20,5954560.198948758
2023-04-21,6087098.992427421
2023-04-22,6220524.8097305205
2023-04-23,6326652.042149072
2023-04-24,6425309.350006147
2023-04-25,6563630.113725746
2023-04-26,6621971.259636376
2023-04-27,6754167.985985305
2023-04-28,6829379.497723583
2023-04-29,6967260.127468921
2023-04-30,7060431.154056667
2023-05-01,7129560.452430351
2023-05-02,7221199.131033648
2023-05-03,7307858.663126947
2023-05-04,7429349.122571351
2023-05-05,7516967.346453532
2023-05-06,7647152.294348792
2023-05-07,7765234.4496925585
2023-05-08,7891913.869737469
2023-05-09,7974249.79321283
2023-05-10,8073708.925022896
2023-05-11,8194850.421453086
2023-05-12,8332146.406886634
2023-05-13,8425791.150425838
2023-05-14,8476972.304904163
2023-05-15,8567477.460497335
2023-05-16,8616623.60465384
2023-05-17,8677348.421055852
2023-05-18,8743699.31466943
2023-05-19,8865746.022374298
2023-05-20,9028436.385384463
2023-05-21,9175905.707554149
2023-05-22,9293980.714389935
2023-05-23,9408683.616708964
2023-05-24,9508752.471813304
2023-05-25,9648236.919966355
2023-05-26,9579133.623143971
2023-05-27,9639307.429869952
2023-05-28,9749325.625282915
2023-05-29,9892280.575690592
2023-05-30,9995009.126843989
2023-05-31,10087312.854324952
2023-06-01,10178353.085219596
2023-06-02,10302696.293887088
2023-06-03,10429810.536322005
2023-06-04,10513305.501459315
2023-06-05,10564015.249107897
2023-06-06,10605278.879750136
2023-06-07,10704935.788282242
2023-06-08,10839170.397060975
2023-06-09,10818905.093095856
2023-06-10,10912397.687520467
2023-06-11,10986667.247099593
2023-06-12,11016319.626867794
2023-06-13,11080871.047000809
2023-06-14,11165786.43330529
2023-06-15,11243289.373212785
2023-06-16,11406575.502628352
2023-06-17,11554152.86345068
2023-06-18,11622284.827293549
2023-06-19,11645388.133485984
2023-06-20,11739097.44537039
2023-06-21,11805989.179886024
2023-06-22,11839746.77036614
2023-06-23,11876342.757777527
2023-06-24,11978429.862636797
2023-06-25,12049666.368446767
