Date (yyyy/mm/dd),Extent (km2)
2023/04/15,13872652.850669114
2023/04/16,13873568.94826181
2023/04/17,13837651.050540132
2023/04/18,13823644.928333137
2023/04/19,13805655.510364205
2023/04/20,13798752.649877632
2023/04/21,13822374.838687945
2023/04/22,13759002.82471069
2023/04/23,13714532.414727788
2023/04/24,13701779.605388014
2023/04/25,13639576.64810528
2023/04/26,13582273.75358142
2023/04/27,13559640.880262433
2023/04/28,13523461.829144329
2023/04/29,13470705.434265887
2023/04/30,13406790.68889297
2023/05/01,13387317.909444593
2023/05/02,13392509.769849073
2023/05/03,13350411.118954722
2023/05/04,13368633.603313552
2023/05/05,13325402.454407295
2023/05/06,13292278.608505718
2023/05/07,13201150.1073332
2023/05/08,13129313.137530157
2023/05/09,13094862.918964334
2023/05/10,13050530.547465526
2023/05/11,13009061.059580663
2023/05/12,13000445.998569528
2023/05/13,12986580.420607358
2023/05/14,12943387.889283897
2023/05/15,12871633.422307367
2023/05/16,12799595.008456063
2023/05/17,12758578.579004416
2023/05/18,12745025.989536844
2023/05/19,12730867.714817101
2023/05/20,12693600.03931354
2023/05/21,12641438.274827814
2023/05/22,12579977.45789664
2023/05/23,12509675.417585945
2023/05/24,12472715.751145186
2023/05/25,12351365.944044443
2023/05/26,12302105.365043757
2023/05/27,12207840.142796712
2023/05/28,12195221.260964863
2023/05/29,12090644.90916596
2023/05/30,12040237.880248072
2023/05/31,12018217.42503383
2023/06/01,11927685.936200738
2023/06/02,11901157.283888154
2023/06/03,11855780.54547437
2023/06/04,11839713.210316118
2023/06/05,11787790.850857422
2023/06/06,11722602.323379958
2023/06/07,11582760.306618243
2023/06/08,11550171.831760518
2023/06/09,11529740.431929527
2023/06/10,11467253.676519677
2023/06/11,11406234.149458092
2023/06/12,11363874.058886379
2023/06/13,11247309.275025055
2023/06/14,11161784.018159403
2023/06/15,11094656.125948392
2023/06/16,11032283.382756243
2023/06/17,11037356.543171696
2023/06/18,10986013.77609507
2023/06/19,10895776.79139649
2023/06/20,10671127.998785237
2023/06/21,10519087.090033665
2023/06/22,10509568.14375438
2023/06/23,10461149.898353813
2023/06/24,10411339.423815792
2023/06/25,10251328.725332318
2023/06/26,10054395.153476223
2023/06/27,9956944.747605529
2023/06/28,9875021.455839137
2023/06/29,9698223.41342679
